สรุปภาพรวมการเสนอคำขอรับการสนุบสนุนงบประมาณเงินอุดหนุนเฉพาะกิจขององค์กรปกครองส่วนท้องถิ่น (เทศบาลตำบลและองค์การบริหารส่วนตำบล),,,,,,,,,,,,,,,
ประจำปีงบประมาณ พ.ศ. 2566,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,, หน่วย : บาท
ลำดับ,จังหวัด,จังหวัด,อำเภอ,ประเภท,อปท.,คำขอ อปท. (ทต. และ อบต.) ผ่านระบบ SOLA,,,,สถ. ทำคำขอในระบบ e-Budgeting,,,,พ.ร.บ. งบประมาณรายจ่ายประจำปี 66,
,,,,,,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณรวม, คำขอเงินอุดหนุน, เงินสมทบ,รายการ, งบประมาณ
,,,,,,"5,434", แห่ง,,,"5,347", แห่ง,,,"5,640", แห่ง
19,กระบี่ คลองท่อม อบต.คลองท่อมใต้,กระบี่,คลองท่อม,อบต.,อบต.คลองท่อมใต้,9,"  68,531,600 ","  68,531,600 ",  -   ,5 ,"  6,484,000 ","  6,484,000 ",  -   ,3 ,"  6,502,700 "
20,กระบี่ คลองท่อม อบต.คลองท่อมเหนือ,กระบี่,คลองท่อม,อบต.,อบต.คลองท่อมเหนือ,7,"  29,576,000 ","  29,576,000 ",  -   ,7 ,"  29,576,000 ","  29,576,000 ",  -   ,2 ,"  7,448,700 "
21,กระบี่ คลองท่อม อบต.พรุดินนา,กระบี่,คลองท่อม,อบต.,อบต.พรุดินนา,5,"  20,579,000 ","  20,579,000 ",  -   ,4 ,"  18,179,000 ","  18,179,000 ",  -   ,2 ,"  8,164,700 "
22,กระบี่ คลองท่อม อบต.เพหลา,กระบี่,คลองท่อม,อบต.,อบต.เพหลา,1,"  8,259,000 ","  8,259,000 ",  -   ,1 ,"  8,259,000 ","  8,259,000 ",  -   ,2 ,"  8,277,700 "
23,กระบี่ ปลายพระยา ทต.ปลายพระยา,กระบี่,ปลายพระยา,ทต.,ทต.ปลายพระยา,7,"  16,817,000 ","  16,817,000 ",  -   ,5 ,"  12,017,000 ","  12,017,000 ",  -   ,4 ,"  10,884,000 "
24,กระบี่ ปลายพระยา อบต.เขาเขน,กระบี่,ปลายพระยา,อบต.,อบต.เขาเขน,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
25,กระบี่ ปลายพระยา อบต.เขาต่อ,กระบี่,ปลายพระยา,อบต.,อบต.เขาต่อ,4,"  21,040,100 ","  20,022,700 ","  1,017,400 ",4 ,"  21,025,900 ","  20,009,900 ","  1,016,000 ",3 ,"  14,395,600 "
26,กระบี่ ปลายพระยา อบต.คีรีวง,กระบี่,ปลายพระยา,อบต.,อบต.คีรีวง,3,"  14,044,000 ","  14,044,000 ",  -   ,3 ,"  14,044,000 ","  14,044,000 ",  -   ,1 ,"  5,415,000 "
27,กระบี่ ปลายพระยา อบต.ปลายพระยา,กระบี่,ปลายพระยา,อบต.,อบต.ปลายพระยา,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,0 ,  -   
28,กระบี่ เมืองกระบี่ ทต.กระบี่น้อย,กระบี่,เมืองกระบี่,ทต.,ทต.กระบี่น้อย,6,"  38,599,000 ","  38,599,000 ",  -   ,4 ,"  9,959,000 ","  9,959,000 ",  -   ,2 ,"  9,977,700 "
29,กระบี่ เมืองกระบี่ อบต.เขาคราม,กระบี่,เมืองกระบี่,อบต.,อบต.เขาคราม,0,  -   ,  -   ,  -   ,0 ,  -   ,  -   ,  -   ,1 ,"  18,700 "
